Page_Visits,Time_Spent,Demo_Requested,Trial_Signups,Emails_Clicked,Webinar_Attendance,Feature_Usage,Support_Interactions,Industry_Score,Company_Size,Revenue_Potential,Account_Creation_Days,Bounce_Rate,Device_Type,Referrals,Login_Frequency,Days_Active,Onboarding_Completion,Guided_Tour_Completion,Integration_Attempts,Content_Engagement,Customizations_Made
27,122,1,1,4,0,13,0,5.089590404220475,278,676093.0341645768,107,16.70556694687857,2,2,21,14,0,0,2,17,0
42,279,0,1,2,0,5,1,4.528248052843268,139,405001.0985875484,18,99.2830825444697,1,3,21,4,1,0,4,3,2
28,216,0,1,4,0,13,8,2.786943159285258,176,931544.4071065201,145,56.30129431716631,1,8,17,2,1,1,3,18,6
16,229,0,0,2,1,6,9,9.5887187319041,8,89009.73489600883,167,35.6621798826052,1,3,14,8,0,0,5,12,10
15,24,0,1,8,1,5,6,1.4281430447286736,295,511525.640809493,71,28.820269385003883,2,2,8,18,0,0,1,19,10
47,117,1,1,8,0,9,9,5.7982957604772505,235,918521.5304431212,106,25.699173531094754,2,4,21,19,0,1,0,20,6
44,144,1,0,5,0,16,6,2.8255026751863888,163,904113.6604795052,54,66.4152765054482,1,6,21,14,0,0,2,1,10
3,51,0,0,0,1,2,5,2.790082903477966,49,156529.21341574122,94,41.93878315196859,1,4,9,20,1,1,0,7,2
37,5,0,1,6,0,1,2,4.049685873761884,302,366637.70009645645,76,96.54106993686116,2,3,8,25,1,0,3,18,0
7,94,0,1,6,1,8,9,9.987929358156546,38,619121.4000466963,35,68.38430306453614,2,7,13,10,0,0,2,8,9
21,146,0,1,9,0,19,2,0.5496630683982207,136,159394.88477140217,11,79.20445910489612,2,3,17,17,0,0,0,3,8
9,42,1,1,9,0,11,1,5.785418182035315,310,968022.1720457387,61,29.274154858315992,2,1,19,8,1,0,4,15,5
39,297,1,0,3,1,12,10,0.8257215803527718,421,914749.3287276604,44,7.918640910862584,2,9,28,28,1,0,0,18,6
18,143,0,0,7,0,12,5,1.5452082999051897,219,166950.17903446918,121,48.782283738188106,1,5,7,14,1,1,4,9,0
4,263,0,0,5,0,7,3,4.395629417728987,348,121155.46126098542,68,31.458154654622728,1,1,17,21,1,0,1,5,0
25,165,0,1,3,0,13,4,5.104601313464413,296,85408.4828082653,25,20.208316500792368,1,2,1,23,0,0,3,15,3
14,182,1,1,3,1,8,2,2.58792408364524,34,909443.6640366311,176,95.26421308008614,1,0,5,8,1,0,5,9,6
50,14,0,1,1,0,9,5,3.164571308744162,352,193623.80979546078,160,44.39882143420303,2,4,25,5,0,0,0,12,10
9,265,1,1,1,0,7,10,0.8696702025593306,79,416284.92854435474,84,17.470859204878565,2,8,6,16,0,0,2,8,10
26,142,0,0,3,0,15,2,3.0321978384425052,236,448851.36565200303,114,19.865065268113913,2,1,26,8,0,0,3,6,7
2,176,1,0,4,0,2,7,9.66558439380544,383,599011.0442135675,132,28.0709742464594,2,6,2,10,1,0,0,3,9
20,17,0,1,7,0,20,8,9.447073816724817,273,71735.34374742497,166,99.93162681897128,2,4,27,27,0,1,2,18,8
28,172,1,0,5,0,12,3,3.34878290136985,161,226758.61740051594,175,26.80115005195973,1,1,25,8,1,1,2,3,0
47,134,0,1,3,1,1,8,5.708539362787616,175,931490.386918926,1,32.88018045784536,1,7,16,9,0,0,5,18,3
7,88,0,1,10,1,8,6,9.095953911109444,366,908410.1072685695,131,65.93281279840014,1,10,22,18,1,1,5,18,3
44,105,0,0,6,0,5,2,0.061838226408966745,308,781290.6474056923,86,29.396137641029828,1,5,5,3,0,0,2,11,2
8,277,1,1,7,1,15,6,8.106835703375918,374,19401.245618215435,62,21.580425105969336,1,3,5,17,0,1,5,12,6
47,269,0,1,1,1,1,0,9.48369552788919,464,327006.76849610213,64,15.863718664959869,2,3,12,20,1,0,2,3,0
35,42,1,0,6,0,1,2,0.9132573433355706,221,627958.7353429078,145,31.26826650277922,2,1,3,15,1,0,0,9,8
14,98,1,1,1,1,10,5,1.6144768603292103,9,275190.2117734757,126,10.591568962877352,2,2,30,21,0,1,1,20,7
17,99,0,1,1,1,10,3,9.607463027713553,289,909586.6950537773,105,1.8646586414782895,2,6,16,27,0,0,5,6,1
36,73,0,0,7,1,15,6,5.375401436403463,444,633889.4618324419,62,80.46416973346773,2,2,6,17,1,1,4,4,1
50,240,0,1,1,1,17,2,0.14196634471723701,113,71906.7173164456,35,13.789494241457657,1,4,15,8,0,0,4,16,7
40,141,1,0,10,1,6,0,2.5763199876352916,477,909005.5888357031,13,77.59768498152422,1,9,15,2,1,0,4,17,10
4,80,0,1,8,1,3,8,4.499436742688596,205,957766.6581762226,163,79.75424789866598,1,5,29,17,1,0,1,10,0
2,39,1,0,0,1,13,5,6.929089110247677,405,77712.41839172548,43,53.791952632924314,2,5,16,18,0,0,2,14,6
6,5,1,0,8,1,16,7,7.3316037813679955,186,532360.2348613149,130,30.96819583129514,2,3,20,29,1,1,2,20,8
42,300,0,0,0,0,8,2,9.95421512925456,341,303364.28221417044,111,14.503273374988845,2,5,13,5,0,0,3,6,2
4,64,0,1,9,0,15,7,2.8751119938375904,197,392839.0764814024,128,73.68051067209991,2,2,12,9,1,1,4,17,6
29,271,0,0,9,1,17,1,5.382201018684753,266,179651.21795534188,51,60.1386985981786,1,6,10,9,1,1,4,5,5
18,233,0,0,1,1,17,3,5.33323547859605,262,578072.1020124125,144,65.5453456493564,2,6,14,2,0,0,2,17,6
26,274,0,0,5,0,13,2,4.0564525944723755,248,957979.3532488906,146,0.8669089845131039,1,3,2,2,1,0,4,15,6
44,290,0,0,5,1,17,9,1.691618938424202,115,503072.60027160903,135,92.75170157078246,2,1,29,19,0,1,2,1,9
34,295,1,0,0,1,6,0,9.774565631838426,121,82914.58139448115,45,6.629018744655024,1,10,3,23,1,1,2,18,0
10,217,1,1,6,0,17,6,8.53317186666586,141,620001.3334774084,164,36.68058851400057,2,6,9,27,1,0,5,0,2
36,169,1,1,7,0,16,10,4.983330282942372,65,340222.99445125705,169,40.27116496517002,2,2,11,3,1,1,2,10,9
14,9,0,1,1,0,14,9,6.032454226840298,276,855925.1895912978,42,0.13555244979488457,1,0,11,17,1,1,0,19,0
31,82,1,1,7,1,13,1,2.2726105355966233,313,434678.1483164702,135,49.70893093507971,1,1,25,14,0,1,0,4,4
48,66,1,1,8,1,6,3,5.4378707039174685,239,192839.6089422456,15,75.28089945110099,2,9,22,14,1,0,0,15,2
15,136,1,1,5,0,3,8,6.949701331214758,302,191105.62269114496,60,82.32686531147722,1,8,10,14,1,1,0,0,0
8,93,1,1,4,0,14,5,5.151670283865888,392,768764.1807211604,40,87.93969933058844,2,7,26,6,1,1,1,18,1
14,241,1,0,8,1,14,7,9.902851705849413,10,265587.5983073599,165,48.771886831536946,2,5,14,3,0,1,3,13,9
23,46,0,1,10,0,15,1,6.113416562477262,457,767233.394159223,112,63.063619052965045,1,5,9,1,0,1,3,2,4
40,93,0,0,8,1,8,6,3.7097371259216905,369,205887.31076659937,77,7.951971329649876,2,0,20,30,0,0,2,1,10
21,300,1,0,0,1,15,5,7.721520276158381,233,321686.3687013094,105,48.80382242817499,2,1,27,16,0,0,4,4,2
16,299,1,1,10,0,13,8,1.7046251158164205,195,465486.9724396994,107,15.481575487173526,1,3,21,29,1,1,0,16,5
45,108,1,0,2,0,17,6,3.8451581370626653,395,943195.8496934507,122,36.964311762252144,2,2,10,4,1,1,3,17,8
18,18,0,0,8,1,3,0,3.4695895037758584,12,931731.4247538246,80,32.93053128645993,2,0,22,29,1,1,3,0,5
47,292,0,0,10,0,6,7,4.318070951077773,394,206871.8754222878,125,42.35405772415082,2,7,29,1,0,0,0,14,1
24,183,1,0,1,0,5,10,7.8177982592872635,409,358219.0412430728,172,57.163661797413255,2,6,9,17,0,0,1,8,1
26,129,0,1,3,0,17,9,4.841730321634074,177,149399.38845377232,134,90.28766470629958,1,3,29,28,1,1,1,4,7
25,27,0,1,3,0,2,2,7.940144502659628,177,509985.0793134971,32,39.44846313475053,1,8,5,18,1,1,3,12,10
45,67,1,1,1,1,15,1,5.764889031398659,217,460582.55069466657,108,98.11311957115507,1,10,8,26,1,0,1,18,7
41,147,0,1,2,1,5,2,3.4206943465755533,11,900760.1624507324,114,75.90280480512028,2,3,11,8,0,1,5,9,5
29,157,0,1,2,1,20,10,8.099787436834724,446,930005.3777910726,146,51.14810467883832,1,0,1,2,1,1,0,19,9
15,149,1,1,0,1,6,5,2.382896705530916,118,383567.3910072921,68,64.4026437111944,1,9,21,27,1,0,3,20,6
45,229,0,1,5,0,6,2,2.2438297979979547,164,491737.9430189894,127,10.22241711319445,1,0,10,18,0,0,0,13,0
1,108,0,1,7,0,18,9,5.045029240548358,39,896236.2491461331,135,84.45215313136548,2,0,1,27,0,0,1,20,8
25,108,1,1,2,1,18,4,2.608492459620889,53,806707.8077450615,114,58.23574550639658,1,0,26,27,1,0,0,11,4
7,43,0,1,4,1,4,5,0.09087034951216322,218,3656.3113446492766,8,98.60674802096018,1,3,30,16,0,0,1,10,8
9,202,0,0,0,0,17,7,6.482975272988015,206,320059.5641835825,64,63.642874375284904,2,0,22,26,1,1,1,6,1
24,138,1,1,9,1,14,6,5.11093821472398,487,421774.2419361259,135,83.4111583266325,2,1,7,10,1,0,0,16,7
1,71,1,0,6,1,14,10,4.455178144931612,312,229716.2836832317,41,79.97627427952398,2,3,28,8,1,0,1,17,6
44,183,1,0,9,0,13,7,9.669685146183154,360,199571.61589593874,40,34.546115146826885,2,6,14,12,1,0,5,6,10
8,46,0,0,0,1,7,2,5.711991839629137,385,37784.50659567967,3,25.961062523321164,2,1,5,22,0,0,2,19,3
24,19,1,0,10,0,12,3,8.634315777893844,56,643369.7250697606,145,43.049358343151,2,7,17,16,0,0,0,5,2
11,115,0,1,8,0,15,5,1.3945023620516017,118,262510.29048316565,110,46.72413444088372,1,6,22,12,0,0,2,10,3
17,161,1,0,7,1,19,10,5.692064631294277,388,52347.17843131309,114,24.008470193664387,1,8,26,11,1,1,0,11,3
8,293,0,1,6,0,11,6,8.67979626730903,253,230979.31052806365,112,89.45978733509719,2,5,21,20,1,0,1,15,9
35,235,1,1,9,1,15,8,5.83105757279898,286,801913.9528361266,180,54.2547862300646,2,3,6,19,1,1,1,18,9
35,161,1,0,6,0,12,0,7.180141781270015,268,851489.1816465466,150,97.84443921535696,1,5,16,1,0,1,3,18,7
33,42,1,1,4,1,3,7,3.7204356781220738,291,483066.24519330263,4,81.00177780462633,2,3,11,27,0,0,5,10,3
5,101,1,0,4,1,17,7,0.9244951703706661,333,416070.67040868616,134,55.5704860391946,2,6,10,3,1,0,3,15,4
42,293,0,0,10,1,3,5,4.579002951270715,180,977853.6935017818,166,94.70402781443592,1,8,15,12,0,1,2,11,1
39,258,1,1,4,0,19,3,3.9447939083885752,415,200564.65958806992,26,50.48748150953071,2,2,7,30,0,1,1,7,3
41,200,1,1,0,0,20,2,8.670601823789474,358,215359.2828546085,139,88.71065125186705,2,2,23,9,0,1,3,2,6
28,90,0,0,7,1,4,10,2.4399530235247227,235,291867.1770363998,17,35.81447811958055,1,1,2,21,0,0,1,1,2
7,14,1,1,10,0,3,2,9.66734227535108,343,172757.31828108733,92,37.86423834040941,1,0,12,29,1,1,0,5,0
9,9,0,1,0,1,16,5,9.581381198044962,196,379365.5982041866,31,41.81306829709312,1,0,19,22,0,0,3,15,7
8,127,1,1,3,1,12,7,2.476316430714387,308,910834.2269897538,163,54.662564594324614,1,2,12,5,1,0,2,19,7
12,122,1,0,8,0,8,6,3.480519554773205,80,615347.8406285743,144,55.3490270198824,1,6,16,1,0,1,3,14,5
34,298,1,0,8,1,17,10,8.95555740873885,135,411946.54861226364,107,49.639892167708425,2,10,6,10,1,0,1,13,6
33,163,0,1,4,0,7,0,9.666222208961075,22,934410.7945712148,146,30.600097358316745,2,8,3,17,1,0,4,1,9
48,232,1,1,3,1,11,10,4.434391028360441,477,48464.23247582232,111,92.7206464790831,2,1,2,4,0,1,4,19,10
23,220,1,1,2,0,18,5,3.2099704564089784,331,210276.17790186137,101,58.85860973492542,2,6,20,15,1,1,5,17,1
24,188,1,1,2,1,1,6,5.260940132515421,440,565888.605101759,112,40.773921619159495,2,0,5,19,1,0,1,13,4
37,19,0,1,4,1,3,6,6.8776920636573475,225,615552.6231931791,62,65.11769607436182,1,1,11,27,0,1,0,17,6
35,161,0,0,9,0,4,8,2.734745153749798,58,39557.50656261314,112,76.79667578098052,2,5,26,8,1,0,3,1,8
44,140,1,1,0,1,13,10,7.364731746190728,93,403038.75790713215,155,96.07280882282431,2,10,25,28,0,1,4,0,0
40,265,0,0,4,1,6,10,0.5165735711464103,192,649153.9648308727,163,49.954916226758264,2,4,3,28,1,1,0,19,2
22,161,1,1,5,0,14,9,0.4929449276441644,103,698070.5464034016,116,11.209851035075879,2,7,3,23,0,1,1,1,5
27,51,1,0,6,1,5,4,3.8628770514554525,396,638139.9025162692,173,44.076580143654134,2,10,22,15,0,1,0,8,6
35,177,1,1,8,0,16,0,3.534731920607206,7,320563.22436092456,35,47.897056145347136,1,1,5,27,0,0,1,8,5
1,134,1,0,2,1,15,1,3.1563321536715225,128,93520.1235979095,28,89.6994078185674,2,0,22,7,0,1,5,15,0
35,99,1,1,1,0,15,3,4.9101976266891,55,427112.4464193341,103,39.48007684629531,2,6,23,15,0,0,3,10,3
37,119,1,0,2,1,4,4,3.207335823115712,231,128754.43736805547,125,95.33242648871384,2,5,11,8,1,0,0,5,5
47,247,1,0,8,1,8,8,1.9225791846809193,362,947623.6585206671,102,48.51319077143348,2,7,3,30,1,1,3,11,7
14,296,0,0,6,1,16,10,3.094695490886009,62,475170.86602262827,137,97.37805009789288,2,10,13,26,0,1,0,2,9
3,286,0,0,8,0,16,0,9.74904272810235,240,317259.17435686756,143,0.8198321130962194,2,7,21,23,1,1,1,11,3
1,287,0,0,1,0,4,2,4.111134169948486,90,766304.0711189001,21,89.88153748063466,1,1,8,10,1,1,1,0,6
5,73,0,0,4,0,13,4,4.447127768583358,232,497948.59258226387,52,93.11204519433507,2,7,20,18,1,1,0,8,10
26,152,0,1,3,0,13,2,5.7654498995114,457,310034.02401245007,163,96.10209357652133,1,5,10,4,0,0,5,19,2
14,15,0,0,1,1,2,3,9.833407684142266,233,811967.7423908017,97,1.3076534174614851,1,8,2,15,0,1,1,5,7
39,258,0,1,8,1,3,2,2.41601276435763,354,867152.151001122,51,17.1700836550309,2,6,4,11,1,0,2,10,0
27,42,1,1,8,0,8,3,6.812821105324338,493,673008.166288677,83,65.37645030932362,2,1,18,22,0,0,2,2,3
9,138,1,1,5,0,15,0,7.159846935417241,333,46964.4224076673,55,2.5472691735107134,2,7,19,3,0,0,3,3,7
15,204,1,1,10,0,11,7,6.0732441679306595,439,566322.8801665321,77,6.360899617650073,1,8,4,15,1,0,2,9,9
15,27,1,1,5,1,9,3,0.8857833963664408,375,763294.9119972816,127,22.10788736934419,2,6,20,3,0,1,2,18,3
26,222,0,0,7,0,7,6,6.768722758275764,292,136503.01208358217,172,51.24397687438842,2,3,26,15,0,1,5,5,1
42,145,0,0,5,0,13,1,0.6409471103617548,345,228670.75138460335,93,54.590255926680754,2,8,9,6,0,0,5,0,1
13,108,1,0,0,1,2,1,5.961426495498969,152,882495.1050681365,88,3.426112279350435,1,3,16,1,0,0,4,7,3
32,214,1,1,3,1,8,5,7.395811772217426,428,20121.721853074036,80,17.036725078153115,1,3,26,14,0,1,4,7,3
39,115,0,0,6,0,7,1,2.109698906199504,145,752727.137825976,153,49.97056733346553,2,8,6,16,1,0,5,5,1
49,108,1,0,1,1,12,5,8.416220075427741,130,473773.2925144229,92,59.394062094340526,1,7,25,1,0,1,4,16,6
32,175,1,0,8,0,19,10,0.30353805533004263,141,446772.15883960685,47,14.840169648621536,2,3,4,21,0,0,5,18,5
4,137,1,0,7,1,7,1,8.43812863658306,415,7096.532494887176,38,39.884141194697065,1,7,9,17,1,1,4,0,10
30,297,1,0,7,0,10,3,4.603290506427651,93,819398.2309664928,139,90.44014365169524,2,7,27,26,1,0,1,14,2
37,131,0,1,6,0,16,6,2.175879399316445,114,359824.90063656645,15,99.8899287046172,1,6,13,8,0,0,5,12,7
23,110,1,0,3,0,3,7,1.33778144993968,284,540765.6313005429,1,98.72144548311412,2,9,9,18,1,0,3,20,7
39,96,1,1,1,0,10,2,9.533071675823725,444,677300.6863356595,135,88.16745102868724,2,5,6,16,0,1,3,2,0
45,291,0,1,2,1,6,8,0.7266558758115671,411,702629.5764379158,1,39.46600879499458,1,7,21,6,1,1,5,1,2
15,55,0,1,5,1,18,1,1.9909341993592566,143,955980.0588260723,49,68.65742920747842,1,6,19,10,0,1,2,2,4
43,33,1,1,4,1,18,7,3.4782234743304596,223,531339.9532366091,96,41.65922277841987,1,4,14,10,1,0,3,8,1
29,300,0,1,7,1,5,7,6.202348489611205,232,399719.55097442755,157,64.85270268242029,1,3,21,5,0,0,2,15,4
36,218,1,0,5,0,7,3,5.448010852760984,463,953703.6264917079,26,30.943247096948323,1,1,15,26,1,0,3,12,10
13,271,1,0,5,0,2,0,1.2564349241231398,33,642110.2350255211,87,60.6202253610332,2,10,3,28,0,0,0,18,9
32,261,0,0,0,1,11,0,2.897279837382146,276,298150.3562765556,173,52.37584965528499,2,7,5,12,0,0,0,17,2
7,105,1,1,3,1,13,1,2.387517710860241,170,126464.24540357116,93,2.4480265813199953,1,8,21,20,0,0,5,20,8
22,114,1,0,4,1,5,8,2.135428544903414,140,842554.5014651812,102,79.07029037461137,2,3,18,17,1,1,3,11,10
28,186,1,0,10,1,6,1,4.111443364799871,357,362181.6027941516,71,1.1897832245155615,2,3,14,14,1,1,1,11,0
2,5,1,1,2,1,14,1,7.040314525916569,201,660469.7213644312,140,29.315594225330177,1,4,16,14,0,1,2,0,3
42,59,0,1,8,0,12,5,2.1745293221723596,23,470816.4193658981,95,0.592406545400237,2,1,14,3,0,0,3,19,9
45,153,0,1,0,0,4,6,3.666788797029814,456,198929.77979503834,160,37.62014132951982,2,6,9,29,0,1,5,7,5
6,141,1,1,5,0,6,6,3.909174268411623,224,601686.608620465,118,6.316052816413931,1,4,15,12,0,0,2,16,8
28,206,0,0,5,1,10,8,9.764565294354101,368,60683.06895068232,148,91.35109668312413,1,5,7,20,1,0,4,20,2
28,121,1,1,9,1,18,5,9.546663568790688,270,413342.45987119223,119,41.56792951628686,2,3,14,18,1,1,5,19,2
44,158,1,1,4,1,15,7,8.001375827520759,347,546614.9396636711,51,45.94957748644101,1,7,6,12,1,0,3,6,4
44,295,1,0,4,1,8,10,2.4165892081918514,153,436046.97411857906,81,34.98502360908549,2,7,21,2,0,0,1,8,6
20,67,1,0,9,0,9,5,0.6803731409166969,333,748672.1752509908,36,62.75061542017662,1,4,15,2,0,0,4,16,4
30,248,1,1,4,0,5,1,3.1690413772062476,85,827924.9545453124,67,78.44081166182038,1,5,20,27,1,0,5,9,10
11,29,0,0,5,1,10,0,2.6679454943383085,109,771243.074033178,129,64.81467430489779,1,2,8,17,1,0,3,3,7
28,94,1,1,7,0,20,4,5.059258001463939,31,38812.947811802114,114,74.82071183951275,1,0,2,10,1,1,0,6,4
25,79,0,1,1,0,6,8,7.777279100677931,229,194128.77044597222,155,90.59736635092605,2,8,8,18,1,1,3,6,6
39,298,0,0,5,1,16,7,8.583229388788581,240,536607.5092637743,111,86.35465316714287,1,8,1,22,0,0,0,7,5
33,214,1,0,0,1,3,3,8.448640854105085,378,934822.0404438012,168,67.40584527536959,1,2,26,19,0,0,0,7,9
1,21,1,1,3,1,10,4,3.5967556122306776,363,834956.7750521168,142,21.46379629044286,2,3,17,26,0,1,5,15,1
27,132,1,1,9,1,11,4,6.8723434346068295,310,842534.5083518017,100,63.77028510419288,2,6,19,21,1,1,3,11,2
13,255,1,1,2,1,11,5,3.1283419752422006,389,303208.1937596749,109,50.60830957405109,2,1,5,1,0,1,3,14,10
41,183,1,0,8,1,17,2,0.6090554323518271,141,429447.8970787026,120,71.72192310104201,2,2,30,24,1,0,0,7,10
3,186,0,1,2,0,4,4,7.015652656029423,156,470705.9473159374,79,83.29316483929149,1,5,22,29,1,1,2,8,3
39,156,1,1,5,0,4,1,0.09827552569787845,299,157371.58334991042,134,74.27214971864174,2,10,20,4,1,1,4,2,4
6,29,1,1,0,1,17,9,4.0918258745848854,345,31068.130244456315,161,84.65611699612853,1,7,16,25,1,0,1,20,8
8,184,0,1,5,0,9,0,3.293792693020757,371,946902.8994605169,19,6.386637334102385,2,0,7,4,1,0,3,15,5
27,202,0,1,3,1,19,10,6.933775385188524,99,240712.58566350673,127,3.1620038237463954,1,3,7,30,0,1,4,14,0
9,165,1,0,7,1,5,0,7.662454727603789,47,239948.90372363132,29,25.850056769959394,2,0,18,2,0,0,4,3,2
37,181,0,1,10,1,6,9,3.040946359712838,487,83379.05376875954,24,90.06660841086284,1,1,18,19,0,1,2,19,6
33,289,1,1,8,1,3,6,8.116270144448535,327,928507.7519437786,151,82.36592509839738,1,7,2,21,1,1,4,15,7
42,67,0,1,3,0,1,1,2.9391676050493376,422,579737.114939772,10,68.27272977953116,2,5,15,12,0,0,3,9,6
44,154,0,1,9,1,20,3,4.463263599865613,480,667036.8571253539,105,70.07586674397159,1,8,14,10,1,0,5,10,4
24,158,1,0,9,0,16,4,7.270185270141339,67,911576.8872630525,169,72.66704692582125,1,1,18,13,0,1,5,4,9
15,160,0,0,5,1,11,6,6.9292022922478855,62,345620.1689007895,177,94.2602700484747,1,2,29,29,1,0,4,10,7
32,53,0,0,0,1,13,1,9.873684723122,109,621507.3111380842,145,83.21911523075576,1,8,9,30,1,0,3,12,8
32,88,0,1,3,1,10,5,2.2516102421593187,167,38799.45472888746,173,62.339038702704755,2,8,14,22,0,0,3,14,6
24,181,0,1,6,0,3,0,6.623179135395824,37,186772.52823112934,158,66.57154352571405,1,5,5,23,1,0,0,5,10
41,152,0,0,0,1,9,6,6.096819082757774,119,831245.8050899425,172,21.374026206112195,1,2,11,20,0,0,2,15,8
49,122,0,0,7,1,12,8,9.150984544900298,498,766768.3563383358,55,65.73188251562725,2,4,8,23,0,0,1,14,0
49,67,1,0,9,1,14,4,1.5636214164487505,86,350642.6914571469,147,42.46790124184585,2,1,5,15,0,0,0,10,8
12,193,1,1,10,0,1,4,7.517981635869329,382,376810.6277742125,157,15.296187060574374,2,6,29,26,1,1,1,19,2
39,53,0,1,5,0,18,3,5.682686162687683,392,533554.4335535795,2,80.64028192465743,1,9,11,3,1,0,3,1,5
2,261,1,0,4,0,17,2,2.746658697879054,465,241.0046851345493,164,51.02470998031456,1,10,5,23,1,1,5,1,7
3,228,1,0,9,1,9,8,4.744349141471741,52,241244.33603802786,147,97.74250416894216,2,7,17,20,1,0,0,11,2
49,145,1,0,10,0,9,4,3.337765970697978,91,208231.80860821443,135,28.167935447452496,1,5,22,29,0,1,4,15,3
37,219,0,1,8,1,10,7,5.793134027884609,289,250482.94674976345,154,48.067011230507674,2,7,4,13,1,0,4,18,6
49,215,1,1,1,0,19,8,8.89000610814666,494,805905.8425334414,111,44.79954546688681,1,1,15,8,0,1,1,1,6
17,36,0,1,4,0,15,4,5.6930498441220205,337,279673.8565464432,38,12.077952243257872,2,2,19,25,0,0,3,16,3
49,162,1,0,5,1,5,9,6.31722418326584,298,191521.32205014816,131,42.61152788307795,1,6,22,7,1,1,5,13,8
2,289,0,0,6,0,15,8,5.187478471147094,204,504263.46079303155,102,28.75534564209249,2,9,2,24,1,0,1,15,2
2,290,0,1,4,1,20,1,0.5116550644547591,368,865645.0363727319,95,16.03204713669344,1,0,24,8,0,0,5,4,7
